slug,title,category,prompt_hash,prompt_version,source,description,prompt
ac-running-but-not-cooling,AC Running but Not Cooling? 13 Causes and Safe Fixes,Heating & Cooling,67db9681acbf97dadd0ab0c447e5fba2454546dece4a6afad21873a747471000,featured-v1,lib/generatedPosts/heatingCoolingPillarAcNotCoolingPosts_2025_12_26.tsx,"If your air conditioner is running but the house is still warm, this guide walks you through the most common causes, safe checks, and when to call for service.","Photorealistic scene in a real environment that represents the article topic:
AC Running but Not Cooling? 13 Causes and Safe Fixes — If your air conditioner is running but the house is still warm, this guide walks you through the most common causes, safe checks, and when to call for service.

Composition and realism rules:
- Natural lighting, realistic perspective, and credible materials.
- No text or typography in the scene.
- No screens, UI, logos, or branding.
- No ad-like or misleading button visuals.
- Avoid centered symmetry; use organic framing.
- Avoid repeated compositions across articles.

Camera:
- 35mm lens equivalent, shallow-to-moderate depth of field.
- Horizontal framing.
"
ac-short-cycling-causes-fixes,AC Short Cycling: Why It Turns On and Off Too Fast,Heating & Cooling,621c37ec053e323a4533e5b18f0e07e4075e14515da7a1fe99d85385de4c5ce8,featured-v1,lib/generatedPosts/heatingCoolingPillarFurnaceHeatPumpShortCyclingPosts_2025_12_27.tsx,"Short cycling makes an AC run in quick bursts, wasting energy and lowering comfort. Learn the common causes and what it means.","Photorealistic scene in a real environment that represents the article topic:
AC Short Cycling: Why It Turns On and Off Too Fast — Short cycling makes an AC run in quick bursts, wasting energy and lowering comfort. Learn the common causes and what it means.

Composition and realism rules:
- Natural lighting, realistic perspective, and credible materials.
- No text or typography in the scene.
- No screens, UI, logos, or branding.
- No ad-like or misleading button visuals.
- Avoid centered symmetry; use organic framing.
- Avoid repeated compositions across articles.

Camera:
- 35mm lens equivalent, shallow-to-moderate depth of field.
- Horizontal framing.
"
afue-vs-seer-vs-hspf-vs-cop,AFUE vs SEER vs HSPF vs COP: HVAC Efficiency Ratings in Plain English,Heating & Cooling,4dcbd8d49884dfea229c0567f682e6e20cfe7566fb58f404b33017a2093293b9,featured-v1,lib/generatedPosts/heatingCoolingPillarPosts_2025_12_25.tsx,"HVAC ratings can feel like jargon. This guide explains AFUE, SEER, HSPF, and COP, what each measures, and how to compare systems without mixing apples and oranges.","Photorealistic scene in a real environment that represents the article topic:
AFUE vs SEER vs HSPF vs COP: HVAC Efficiency Ratings in Plain English — HVAC ratings can feel like jargon. This guide explains AFUE, SEER, HSPF, and COP, what each measures, and how to compare systems without mixing apples and oranges.

Composition and realism rules:
- Natural lighting, realistic perspective, and credible materials.
- No text or typography in the scene.
- No screens, UI, logos, or branding.
- No ad-like or misleading button visuals.
- Avoid centered symmetry; use organic framing.
- Avoid repeated compositions across articles.

Camera:
- 35mm lens equivalent, shallow-to-moderate depth of field.
- Horizontal framing.
"
aux-heat-vs-emergency-heat-meaning,Aux Heat vs Emergency Heat: What They Mean on Your Thermostat (Plain English),Heating & Cooling,428c3094167e66a2daa9cb57984492ff0a7fcc9eb6a596c2b4c41c2598af8d46,featured-v1,lib/generatedPosts/heatingCoolingPillarPosts_2025_12_25.tsx,"If your thermostat says Aux Heat or Emergency Heat, this guide explains what's happening, why costs can spike, and when you should (and shouldn't) use each mode.","Photorealistic scene in a real environment that represents the article topic:
Aux Heat vs Emergency Heat: What They Mean on Your Thermostat (Plain English) — If your thermostat says Aux Heat or Emergency Heat, this guide explains what's happening, why costs can spike, and when you should (and shouldn't) use each mode.

Composition and realism rules:
- Natural lighting, realistic perspective, and credible materials.
- No text or typography in the scene.
- No screens, UI, logos, or branding.
- No ad-like or misleading button visuals.
- Avoid centered symmetry; use organic framing.
- Avoid repeated compositions across articles.

Camera:
- 35mm lens equivalent, shallow-to-moderate depth of field.
- Horizontal framing.
"
average-water-usage-per-person,Average Water Usage Per Person: A Practical Range,Water,422dfea3e1a6d521ae2dc8c5c7fc131c169e46607f00517cf4bc7f07febcfda1,featured-v1,lib/posts.tsx,See typical water usage ranges and what affects your household total.,"Photorealistic scene in a real environment that represents the article topic:
Average Water Usage Per Person: A Practical Range — See typical water usage ranges and what affects your household total.

Composition and realism rules:
- Natural lighting, realistic perspective, and credible materials.
- No text or typography in the scene.
- No screens, UI, logos, or branding.
- No ad-like or misleading button visuals.
- Avoid centered symmetry; use organic framing.
- Avoid repeated compositions across articles.

Camera:
- 35mm lens equivalent, shallow-to-moderate depth of field.
- Horizontal framing.
"
budget-billing-level-pay-explained,Budget Billing Explained: How \,Budgeting,59c99f0f111b3706ee1fd692f4dde42a471e3ea47a7aa63068c5bdba46382d75,featured-v1,lib/generatedPosts/utilityBillsPillarPosts_2025_12_25.tsx,"Budget billing (level pay / average billing) can smooth seasonal utility costs. Learn how it's calculated, what a true-up is, and what to watch so you're not surprised later.","Photorealistic scene in a real environment that represents the article topic:
Budget Billing Explained: How \ — Budget billing (level pay / average billing) can smooth seasonal utility costs. Learn how it's calculated, what a true-up is, and what to watch so you're not surprised later.

Composition and realism rules:
- Natural lighting, realistic perspective, and credible materials.
- No text or typography in the scene.
- No screens, UI, logos, or branding.
- No ad-like or misleading button visuals.
- Avoid centered symmetry; use organic framing.
- Avoid repeated compositions across articles.

Camera:
- 35mm lens equivalent, shallow-to-moderate depth of field.
- Horizontal framing.
"
delivery-charge-vs-supply-charge-utility-bill,Delivery Charge vs Supply Charge on Utility Bills (What Each One Covers),Budgeting,4fc5ce87c58737df541d0e3bd19a1d6af96b3482862bcd308fd21ad5f27999a1,featured-v1,lib/generatedPosts/utilityBillsPillarBillingCycleChargesTaxesPosts_2025_12_27.tsx,Why are there two big charges on your utility bill? This guide explains delivery vs supply in plain English and how to compare changes.,"Photorealistic scene in a real environment that represents the article topic:
Delivery Charge vs Supply Charge on Utility Bills (What Each One Covers) — Why are there two big charges on your utility bill? This guide explains delivery vs supply in plain English and how to compare changes.

Composition and realism rules:
- Natural lighting, realistic perspective, and credible materials.
- No text or typography in the scene.
- No screens, UI, logos, or branding.
- No ad-like or misleading button visuals.
- Avoid centered symmetry; use organic framing.
- Avoid repeated compositions across articles.

Camera:
- 35mm lens equivalent, shallow-to-moderate depth of field.
- Horizontal framing.
"
demand-charge-electric-bill-explained,Demand Charges on Electric Bills Explained (Why Your Peak Usage Matters),Electricity,b6b9b88a9d8b7337aa79288ea5496ede1802a1f15e58f21bb39fb81610d4d664,featured-v1,lib/generatedPosts/electricityPillarTieredDemandSupplyPosts_2025_12_26.tsx,"A demand charge is based on your highest short-term usage, not your monthly total. Learn how it is measured and where it appears on your bill.","Photorealistic scene in a real environment that represents the article topic:
Demand Charges on Electric Bills Explained (Why Your Peak Usage Matters) — A demand charge is based on your highest short-term usage, not your monthly total. Learn how it is measured and where it appears on your bill.

Composition and realism rules:
- Natural lighting, realistic perspective, and credible materials.
- No text or typography in the scene.
- No screens, UI, logos, or branding.
- No ad-like or misleading button visuals.
- Avoid centered symmetry; use organic framing.
- Avoid repeated compositions across articles.

Camera:
- 35mm lens equivalent, shallow-to-moderate depth of field.
- Horizontal framing.
"
drought-surcharge-on-water-bill-explained,"Drought Surcharge on a Water Bill Explained: What It Is, When It Appears, and How It Is Calculated",Water,8da3976b9cf1094d7516673249bd8ca3914365bbdc8900627547d0812d6e903d,featured-v1,lib/generatedPosts/waterPillarRatesFeesPosts_2025_12_28.tsx,Drought surcharges show up during water shortages to fund supply and conservation programs. Learn how they are calculated and how to reduce the impact.,"Photorealistic scene in a real environment that represents the article topic:
Drought Surcharge on a Water Bill Explained: What It Is, When It Appears, and How It Is Calculated — Drought surcharges show up during water shortages to fund supply and conservation programs. Learn how they are calculated and how to reduce the impact.

Composition and realism rules:
- Natural lighting, realistic perspective, and credible materials.
- No text or typography in the scene.
- No screens, UI, logos, or branding.
- No ad-like or misleading button visuals.
- Avoid centered symmetry; use organic framing.
- Avoid repeated compositions across articles.

Camera:
- 35mm lens equivalent, shallow-to-moderate depth of field.
- Horizontal framing.
"
duct-leaks-symptoms-hvac-running-all-day,Duct Leaks Explained: Why Some Rooms Never Feel Right (and Bills Climb),Heating & Cooling,d5dbf55ca4af84908f484a5267d186f961b607bb4234c04ca05788537325e7ef,featured-v1,lib/generatedPosts/heatingCoolingPillarPosts_2025_12_25.tsx,"Uneven temperatures, weak airflow, and long HVAC runtime often trace back to duct problems. Learn the signs of duct leaks, simple checks, and why leaks raise heating and cooling costs.","Photorealistic scene in a real environment that represents the article topic:
Duct Leaks Explained: Why Some Rooms Never Feel Right (and Bills Climb) — Uneven temperatures, weak airflow, and long HVAC runtime often trace back to duct problems. Learn the signs of duct leaks, simple checks, and why leaks raise heating and cooling costs.

Composition and realism rules:
- Natural lighting, realistic perspective, and credible materials.
- No text or typography in the scene.
- No screens, UI, logos, or branding.
- No ad-like or misleading button visuals.
- Avoid centered symmetry; use organic framing.
- Avoid repeated compositions across articles.

Camera:
- 35mm lens equivalent, shallow-to-moderate depth of field.
- Horizontal framing.
"
