slug,image_key,title,category,placement,purpose,image_type,alt_text,prompt_hash,prompt_version,source,prompt
how-utility-rates-fees-usage-work-together,fixed-vs-variable-diagram,"How Utility Rates, Fees, and Usage Work Together on Your Bill",Budgeting,after H2: Fees: the parts that do not depend on usage,Contrast fixed and variable charges,diagram,Diagram comparing fixed charges and usage-based charges,213903d80ea6e2ec914cb33e297251bf16e6d46e8c0dafaac443a28aff086a65,inline-v1,lib/generatedPosts/utilityBillsPillarRatesFeesUsageBridgePosts_2026_01_15.tsx,"Two-column balance illustration with a fixed block on one side and a variable block on the other, neutral colors, clean vector style, no text, no logos, horizontal framing."
how-utility-rates-fees-usage-work-together,layered-model-diagram,"How Utility Rates, Fees, and Usage Work Together on Your Bill",Budgeting,"after H2: Think in layers: usage times rate, plus fixed charges",Explain the layered model,diagram,"Layered model of usage, rate, and fixed charges",ad4c1a3eababa5de8885ab386c3b81d90c6aab55d3d72666c8c2a7a0a99f3fa8,inline-v1,lib/generatedPosts/utilityBillsPillarRatesFeesUsageBridgePosts_2026_01_15.tsx,"Layered stack diagram with three translucent sheets and small utility icons, clean editorial vector style, no text, no logos, horizontal framing."
how-utility-rates-fees-usage-work-together,rate-shapes-chart,"How Utility Rates, Fees, and Usage Work Together on Your Bill",Budgeting,after H2: Rates: the price per unit (and why it changes),"Compare flat, tiered, and time-based shapes",chart,"Visual comparison of flat, tiered, and time-of-use rate shapes",8892a226024bd8ec751b27a2f6e0725a1e9db3395df52785e093438be1ac58eb,inline-v1,lib/generatedPosts/utilityBillsPillarRatesFeesUsageBridgePosts_2026_01_15.tsx,"Three small charts side by side showing a flat line, stepped tiers, and time-based waves, minimal vector style, no text, no numbers, horizontal framing."
how-utility-rates-fees-usage-work-together,ripple-total-illustration,"How Utility Rates, Fees, and Usage Work Together on Your Bill",Budgeting,after H2: How one change ripples through the total,Show a small change creating a larger total,diagram,Illustration showing a small rate change causing a bigger total change,cfca0b93c727979ae3fc9d864882c34a6c00c9d4a8628788b5f32e09b35c003d,inline-v1,lib/generatedPosts/utilityBillsPillarRatesFeesUsageBridgePosts_2026_01_15.tsx,"Minimal illustration of a small slider moving upward with a larger total bar rising, clean vector style, no text, no logos, horizontal framing."
why-did-my-utility-bill-go-up-this-month,billing-days-chart,Why Did My Utility Bill Go Up This Month? (Even Without Using More),Budgeting,after H2: The billing days trap (28 days vs 33 days),Show how a longer billing period raises totals,chart,Chart comparing a shorter and longer billing period,745b4f5f1936ffd2a07cd306c9482865b056e86937e918d8d75a5a9d6a943d66,inline-v1,lib/generatedPosts/utilityBillsPillarBillUpThisMonthPosts_2026_01_15.tsx,"Minimal bar chart with two bars of different heights representing shorter and longer billing periods, neutral colors, light gridlines, no text, no numbers, horizontal framing."
why-did-my-utility-bill-go-up-this-month,estimated-correction-diagram,Why Did My Utility Bill Go Up This Month? (Even Without Using More),Budgeting,after H2: Estimated reads and catch-up bills,Explain estimated then corrected bills,diagram,Diagram showing an estimated bill followed by a correction bill,89a4fa72b0ff4ecf1ac1b487e34cdb3386c83c00ca77a697667b6326dfcca8db,inline-v1,lib/generatedPosts/utilityBillsPillarBillUpThisMonthPosts_2026_01_15.tsx,"Simple vector diagram of two monthly bill stacks side by side with a dotted arrow from the first to the second, subtle calendar icon, no text, no logos, horizontal framing."
why-did-my-utility-bill-go-up-this-month,self-check-photo,Why Did My Utility Bill Go Up This Month? (Even Without Using More),Budgeting,after H2: A quick self-check you can do in 5 minutes,Ground the checklist in a real-life scene,photo,Person reviewing a utility bill with a highlighter,d66b5cef63565d962c256a94c2926d86aa1550b699918753daf47a675d1ab021,inline-v1,lib/generatedPosts/utilityBillsPillarBillUpThisMonthPosts_2026_01_15.tsx,"Photorealistic scene of a person at a kitchen table reviewing a utility bill with a highlighter and calculator, warm natural light, no readable text, no logos, horizontal framing."
why-did-my-utility-bill-go-up-this-month,three-buckets-diagram,Why Did My Utility Bill Go Up This Month? (Even Without Using More),Budgeting,after H2: The three buckets that change your total,Orient the reader to the bill structure,diagram,"Diagram showing a bill total built from usage, rate, and fixed fees",1d58e5009f3c2eae01fe53044fbcbd130c20252f3e78cd898ba4661ddf85d67c,inline-v1,lib/generatedPosts/utilityBillsPillarBillUpThisMonthPosts_2026_01_15.tsx,"Minimal editorial vector diagram showing three stacked layers with simple icons (usage, rate, fixed fees), clean white background, muted palette, no text, no logos, horizontal framing."
why-electric-bill-changes-month-to-month,billing-window-calendar,Why Your Electric Bill Changes Month to Month (Even With Similar Usage),Electricity,after H2: Meter read timing and estimated reads,Show timing effect of read windows,diagram,Illustration showing a billing window on a calendar,9fb5403e38c181477b8521b8df7479448f04ac1e4a271de2e7f17a01ebeb3d6c,inline-v1,lib/generatedPosts/electricityPillarBillChangesPosts_2026_01_15.tsx,"Clean vector illustration of a calendar page with a highlighted billing window and a bill icon, no text, no logos, horizontal framing."
why-electric-bill-changes-month-to-month,delivery-supply-split,Why Your Electric Bill Changes Month to Month (Even With Similar Usage),Electricity,after H2: Delivery vs supply: two moving parts,Split the bill into two parts,diagram,Diagram splitting an electric bill into delivery and supply parts,ac8cb68c0aeded7a081ee9288ccf119a49708aa6fbb95b95374e430306703a6c,inline-v1,lib/generatedPosts/electricityPillarBillChangesPosts_2026_01_15.tsx,"Simple split-bill illustration with two shaded halves and generic utility icons, clean vector style, no text, no logos, horizontal framing."
why-electric-bill-changes-month-to-month,demand-peak-chart,Why Your Electric Bill Changes Month to Month (Even With Similar Usage),Electricity,after H2: Demand charges: the spike you did not feel,Highlight a single peak driving the charge,chart,Chart showing a single peak that drives a demand charge,f558955e2ee5ceb2c8330ad1df8e5daa6031248a36f860b547d0e769ee94ca70,inline-v1,lib/generatedPosts/electricityPillarBillChangesPosts_2026_01_15.tsx,"Minimal line graph with one sharp peak highlighted in a contrasting color, subtle grid, no text, no numbers, horizontal framing."
why-electric-bill-changes-month-to-month,tou-tier-diagram,Why Your Electric Bill Changes Month to Month (Even With Similar Usage),Electricity,after H2: Price changes hidden in plain sight,Show time windows and tiers,diagram,Diagram showing time-based and tiered electricity pricing,39db587852796a2d6a12514bea80f2c3e5fdfa68563ccde209e3bfeceb399a27,inline-v1,lib/generatedPosts/electricityPillarBillChangesPosts_2026_01_15.tsx,"Editorial vector diagram combining a clock icon with tiered blocks ascending in steps, muted palette, clean white background, no text, no logos, horizontal framing."
